mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.98078179359436,5.65068631684753,0.036152887344360354,0.010855871740792524,0.005,"(256, 128, 64)",0.01,tanh,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.01, 'model__activation': 'tanh'}",-28.773451617089247,-29.46708721521805,-29.872787920997073,-32.59493073643667,-27.993559318413137,-29.740363361630834,1.563778353895565,10
20.98737964630127,3.244150057300428,0.02519855499267578,0.008356618480575813,0.005,"(128, 128)",0.01,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.01, 'model__activation': 'relu'}",-32.83705623651994,-29.98614361330332,-31.094321915168887,-33.46594831886493,-29.274162604606577,-31.33152653769273,1.6075723071353323,19
63.98959593772888,11.225617379106835,0.026230573654174805,0.006164054858772109,0.001,"(256, 128)",0.001,tanh,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128), 'model__alpha': 0.001, 'model__activation': 'tanh'}",-28.51722139806139,-29.749389573325114,-30.27421625942662,-32.60135293320514,-28.66345854933131,-29.96112774266992,1.4752936925073592,14
49.69099755287171,11.17030676711002,0.026783227920532227,0.007816499315309108,0.001,"(128, 128)",0.01,tanh,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.01, 'model__activation': 'tanh'}",-31.38583199215832,-31.701271637424554,-31.752631877307316,-33.470468173770065,-30.05843211897852,-31.67372715992775,1.0887905786172654,20
34.527078199386594,4.8369434165259255,0.028761577606201173,0.00957289258311499,0.001,"(256, 128, 64)",0.01,relu,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.01, 'model__activation': 'relu'}",-28.44732735069004,-28.470791348916535,-28.81185430143168,-30.758552501688357,-26.691850485244135,-28.636075197594145,1.2945085887855714,6
17.272476577758788,3.9182281362386893,0.02442340850830078,0.006560791479526139,0.005,"(128, 128)",0.01,tanh,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.01, 'model__activation': 'tanh'}",-29.27378237413093,-29.910195967479414,-30.099591303087664,-31.82965171888119,-28.340023578742716,-29.890648988464385,1.1479315436859716,13
22.528604745864868,5.335867233464877,0.03030366897583008,0.005228874921129696,0.005,"(256, 128)",0.0001,tanh,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128), 'model__alpha': 0.0001, 'model__activation': 'tanh'}",-28.290256207956386,-28.56747771806849,-28.778306380258794,-31.599584029427422,-27.6346551326477,-28.97405589367176,1.3681080429073702,7
38.12078928947449,9.454346968791349,0.020038318634033204,0.006264466046853139,0.001,"(128, 128)",0.01,relu,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.01, 'model__activation': 'relu'}",-29.397231096332604,-29.936503315632848,-32.063528065711374,-32.9269851301218,-28.620241110988314,-30.58889774375739,1.634777296079238,16
46.318170166015626,9.00324691569965,0.028223228454589844,0.013306530928453337,0.001,"(256, 128)",0.001,relu,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128), 'model__alpha': 0.001, 'model__activation': 'relu'}",-29.347237834874278,-27.943153039683803,-30.74425837714771,-30.857587095365616,-27.94855224126797,-29.368157717667874,1.277372974394488,9
36.30788893699646,9.143802391863998,0.026548290252685548,0.00594030329459249,0.005,"(256, 128, 64)",0.01,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.01, 'model__activation': 'relu'}",-27.574643335907606,-28.549389071966246,-29.19088046659745,-29.902196262349783,-26.84056769082121,-28.411535365528458,1.096975846996554,1
